ID,Pais,Continente,Episodio_Destacado,Temporada
1,Albania,Europa,The Telltale Head,1
2,Francia,Europa,The Crepes of Wrath,1
3,Australia,Oceania,Bart vs. Australia,6
4,Canada,America del Norte,The Bart Wants What It Wants,13
5,Brasil,America del Sur,Blame It on Lisa,13
6,Reino Unido,Europa,The Regina Monologues,15
7,China,Asia,Goo Goo Gai Pan,16
8,Italia,Europa,The Italian Bob,17
9,India,Asia,Kiss Kiss Bang Bangalore,17
10,Irlanda,Europa,In the Name of the Grandfather,20
11,Israel,Asia,The Greatest Story Ever Dohed,21
12,Islandia,Europa,The Saga of Carl,24
13,Japon,Asia,Thirty Minutes Over Tokyo,10
14,Mexico,America del Norte,The Bob Next Door,21
15,Cuba,America Central,Havana Wild Weekend,28
16,Peru,America del Sur,Lost Verizon,20
17,Tanzania,Africa,Simpson Safari,12
18,Marruecos,Africa,Treehouse of Horror II,3
19,Dinamarca,Europa,Throw Grampa from the Dane,29
20,Corea del Sur,Asia,Mad About the Toy,30
21,Costa Rica,America Central,Livin La Pura Vida,31
22,Belgica,Europa,The Burns and the Bees,20
23,Ecuador,America del Sur,The Wife in the Right,34
24,Espa¤a,Europa,YOLO,25
25,Rusia,Europa,McBain (Menciones/Flashbacks),4
