ID,City,State,StateCode,Country
1,Springfield,Alabama,AL,USA
2,Springfield,Arkansas,AR,USA
3,Springfield,California,CA,USA
4,Springfield,Colorado,CO,USA
5,Springfield,Florida,FL,USA
6,Springfield,Georgia,GA,USA
7,Springfield,Idaho,ID,USA
8,Springfield,Illinois,IL,USA
9,Springfield,Kentucky,KY,USA
10,Springfield,Louisiana,LA,USA
11,Springfield,Maine,ME,USA
12,Springfield,Massachusetts,MA,USA
13,Springfield,Michigan,MI,USA
14,Springfield,Minnesota,MN,USA
15,Springfield,Missouri,MO,USA
16,Springfield,Nebraska,NE,USA
17,Springfield,New Hampshire,NH,USA
18,Springfield,New Jersey,NJ,USA
19,Springfield,New York,NY,USA
20,Springfield,North Carolina,NC,USA
21,Springfield,Ohio,OH,USA
22,Springfield,Oregon,OR,USA
23,Springfield,Pennsylvania,PA,USA
24,Springfield,South Carolina,SC,USA
25,Springfield,South Dakota,SD,USA
26,Springfield,Tennessee,TN,USA
27,Springfield,Texas,TX,USA
28,Springfield,Vermont,VT,USA
29,Springfield,Virginia,VA,USA
30,Springfield,West Virginia,WV,USA
31,Springfield,Wisconsin,WI,USA
